"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B000JWK4DM","B000JWK4DM","Dabur Chyawanprash Spread: Ayurveda Herb Infused Elixir for Revitalization, Support Energy & Vitality Enhancement - Fortified with 40 Ayurvedic Herbs - Suitable for Ages 12+ (1 kg - Pack of 3)","Dabur","FBM","Health & Household",43963,"Ayurveda",43.9,"N/A",275,-10,12072.5,1655,4.4,"Skin_Companion_Dermasoft",1,4184,"N/A","Large Standard-Size",3.74,6.97,11.02,7.14,"N/A","N/A","01/01/2024",216,6,3,0.17
"https://amazon.com/dp/B004UNSQN6","B004UNSQN6","Dabur Chyawanprash (Chyavanprash) - Traditional Inspired by Ayurveda with Natural Ayurvedic Ingredients - Revitalize, Energize, and Strengthen Your Body Naturally - Not for Children Under 6 Years- 1kg","Dabur","FBM","Health & Household",42277,"Cold & Flu Relief",19.29,-32,268,-16,5169.72,1657,4.4,"Skin_Companion_Dermasoft",4,0,"N/A","Large Standard-Size",3.43,3.46,6.69,2.31,"N/A","N/A","01/01/2024",212,6,3,0.16
"https://amazon.com/dp/B004MGF1HK","B004MGF1HK","Dabur Chyawanprash Spread: Ayurveda Herb Infused Elixir for Revitalization, Support Energy & Vitality Enhancement - Fortified with 40 Ayurvedic Herbs - Suitable for Ages 12+ (500 Grams - Pack of 1)","Dabur","FBA","Health & Household",43963,"Cold & Flu Relief",12.99,-9,268,-16,3481.32,1655,4.4,"Classic_Essentials",2,0,"N/A","Large Standard-Size",2.72,2.87,5.67,1.19,22.28,61.48,"01/01/2024",165,5,3,0.16
"https://amazon.com/dp/B0CHPFBQZG","B0CHPFBQZG","Sri Sri Tattva Chyawanprash Jam with Pure Amalaki Fruit for Energy, Immune System Support, and Digestion – Ayurveda Organic Jam with Amla (Indian Gooseberry) and 40 Ayurvedic Herbs (500g)","SRI SRI TATTVA","FBA","Grocery & Gourmet Food",66001,"Jams & Preserves",23.99,4,137,83,3286.63,25,3.7,"Sri Sri Tattva",1,1559,"N/A","Large Standard-Size",4.25,4.65,7.2,1.82,71.65,197.66,"02/01/2024",13,8,0,5.47
"https://amazon.com/dp/B06Y1WJ9HK","B06Y1WJ9HK","Chyawanprash Herbal Jam, 2 Pack, Herbal Jam, Herbal Fruit Spread, Ashwagandha, Amla Jam, Chyawanprash, 20 oz.","Tattva's Herbs","FBA","Health & Household",179894,"Blended Vitamin & Mineral Supplements",54.95,4,35,195,1923.25,7,4.7,"Tattva's Herbs Organics",1,251,"N/A","Large Standard-Size",4.29,4.72,6.26,2.31,63.82,176.05,"10/01/2024",91,5,0,5.04
"https://amazon.com/dp/B085XGZRZK","B085XGZRZK","VEDA Premium Chyawanprash (Sugar Free) | 16.7 Oz | Ayurvedic Herbal Jam with Amla & Ashwagandha | Immunity Booster with Antioxidants | Fortified with Almonds & Saffron","VEDA","FBA","Grocery & Gourmet Food",89679,"Ayurveda",44.99,-15,34,64,1529.66,397,4.1,"THE VEDA STORE",5,727,"N/A","Large Standard-Size",4.09,4.21,7.24,1.79,62.91,173.54,"12/01/2023",23,7,0,0.09
"https://amazon.com/dp/B01HT98O1Q","B01HT98O1Q","Patanjali Chyawanprash 500gm","patanjali","FBA","Grocery & Gourmet Food",58765,"Sandwich Spreads",10.99,-6,64,41,703.36,280,4.2,"Krish Commerce USA",10,479,55,"Large Standard-Size",3.11,3.27,7.05,1.21,36.1,99.58,"09/01/2024",91,7,0,0.23
"https://amazon.com/dp/B002K667RW","B002K667RW","Himalayan Institute Ayurvedic Chyawanprash Jam, 500 Grams","Himalayan Institute Press","FBM","Health & Household",119358,"Ayurveda",16.5,4,40,31,660,246,4.1,"Himalayan Institute",5,487,-39,"Large Standard-Size",3.78,4.13,5.2,1.21,"N/A","N/A","02/01/2023",213,4,0,0.16
"https://amazon.com/dp/B081K3DSYD","B081K3DSYD","Cureveda Chyawanprash Pureprash 1kg - Herbal Immunity Support for all age groups- Jaggery, Organic, Saffron Kesar, no added sugar (500gms x 2)","Cureveda","FBM","Grocery & Gourmet Food",168908,"Indian Seasoning",27.99,-33,16,187,447.84,1592,4.2,"INDIAN BLESSING",6,209,450,"Large Standard-Size",7.72,9.92,10.08,4.57,"N/A","N/A","12/01/2023",58,8,0,0.01
"https://amazon.com/dp/B01BL4DT2O","B01BL4DT2O","patanjali Chyawanprash with Saffron - 1kg / 2.20 lb","patanjali","FBM","Health & Household",230704,"Baby Bubble Bath & Cleansers",19.79,-28,18,22,356.22,80,4.3,"OM Trading NC",30,256,23,"Large Standard-Size",3.7,3.7,6.6,2.4,"N/A","N/A","01/01/2024",104,4,0,0.22
