URL,ASIN,Title,Brand,Fulfillment,BSR,Price,Monthly Sales,Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
https://amazon.com/dp/B07H93VWCC,B07H93VWCC,"Manuka Health UMF 18+/MGO 700+ Ultra High-Grade Manuka Honey (250g/8.8oz), Superfood, Authentic Raw Honey from New Zealand",Manuka Health,FBA,1688,69.99,6324,442616.76,29268,4.6,Manuka Health,1,0,Large Standard-Size,3.43,3.94,4.69,0.9,31.81,87.75,10/01/2024,77,9,12,0.22
https://amazon.com/dp/B00CMQD3VS,B00CMQD3VS,"Nate's 100% Pure, Raw & Unfiltered Honey - Award-Winning Taste, 32oz. Squeeze Bottle",Nature Nate's,Amazon,44,9.18,55448,509012.64,62141,4.7,Amazon,6,0,Large Standard-Size,2.36,3.5,7.13,2.08,N/A,N/A,10/01/2024,138,6,3,0.89
https://amazon.com/dp/B00CMQD3TA,B00CMQD3TA,"Nate's 100% Pure, Raw & Unfiltered Honey - Award-Winning Taste, 12oz. Honey Bear Bottle",Nature Nate's,Amazon,45,5.99,54360,325616.4,62136,4.7,Amazon,6,0,Large Standard-Size,1.97,2.24,5.75,0.82,N/A,N/A,10/01/2024,138,6,3,0.88
https://amazon.com/dp/B0CF483NLY,B0CF483NLY,"Nature Nate's 100% Pure USDA Organic Raw & Unfiltered Honey, Two 14 oz. No-Drip Sustainable Squeeze Pouches; Purity Guarantee, No Additives",Nature Nate's,Amazon,234,21.97,20640,453460.8,30806,4.7,Amazon,1,0,Large Standard-Size,2.56,7.01,7.99,2.12,N/A,N/A,10/01/2024,13,6,4,0.67
https://amazon.com/dp/B017TRQYJM,B017TRQYJM,"Manukora Raw Manuka Honey, MGO 850+ from New Zealand, Non-GMO, Monofloral, Traceable from Hive to Hand, Daily Digestive & Immune Support - 250g (8.82 Oz)",Manukora,FBA,3315,80,3490,279200,4502,4.6,Manukora,1,35343,Large Standard-Size,2.44,2.5,3.4,0.65,10.44,28.81,05/01/2023,107,6,2,0.78
https://amazon.com/dp/B01FSTWEN8,B01FSTWEN8,"Manukora Raw Manuka Honey, MGO 850+ from New Zealand, Non-GMO, Monofloral, Traceable from Hive to Hand, Daily Digestive & Immune Support - 500g (1.1 Lb)",Manukora,FBA,3581,145,3490,506050,4502,4.6,Manukora,1,35343,Large Standard-Size,2.6,2.64,4.41,1.17,15.24,42.04,05/01/2023,104,6,2,0.78
https://amazon.com/dp/B077VLLCXV,B077VLLCXV,"Wedderspoon Raw Premium Manuka Honey, KFactor 16, 35.2 Oz, Unpasteurized, Genuine New Zealand Honey, Traceable From Our Hives To Your Home",Wedderspoon,Amazon,1013,72.01,9904,713187.04,18082,4.7,Amazon,4,110064,Large Standard-Size,3.43,3.46,5,2.36,N/A,N/A,01/01/2024,92,7,4,0.55
https://amazon.com/dp/B0CG2KC6MJ,B0CG2KC6MJ,"Nature Nate's 100% Pure USDA Organic Raw & Unfiltered Honey, 14 oz. No-Drip Sustainable Squeeze Pouch; Purity Guarantee, No Additives",Nature Nate's,Amazon,234,11.49,23786,273301.14,30806,4.7,Amazon,1,0,Large Standard-Size,2.2,4.45,7.44,1.41,N/A,N/A,10/01/2024,13,7,4,0.77
https://amazon.com/dp/B01IR6IZZA,B01IR6IZZA,"Nate's Organic 100% Pure, Raw & Unfiltered Honey - USDA Certified Organic - 32oz. Squeeze Bottle",Nature Nate's,Amazon,217,16.97,23786,403648.42,30805,4.7,Amazon,12,0,Large Standard-Size,2.4,3.5,7.17,2.09,N/A,N/A,10/01/2024,99,8,4,0.77
https://amazon.com/dp/B01IR6J4CI,B01IR6J4CI,"Nate's Organic 100% Pure, Raw & Unfiltered Honey - USDA Certified Organic - 16oz. Squeeze Bottle",Nature Nate's,Amazon,216,8.99,23786,213836.14,30805,4.7,Amazon,8,0,Large Standard-Size,1.81,2.64,6,1.06,N/A,N/A,10/01/2024,99,7,4,0.77
